,model,query,nesting,value,model_parsing_time,model_checking_time,model_construction_time,name,timeout,solver
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=228] ,0,2911708723700936825014592739959296923377161370912086641968692093256498834479942422096634382397189809466211769627891310460782256913397291/3125983840711864994271236148361804958039581282175896621111462264528634593243102012482139575749674822563593344253810391250000000000000000,0.095,0.014,0.2,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=1309] ,0,2360562952896047583878269024353832941177766073587361693650188305378694542309004521530351162920488989273205251091634363/111450801874523641512736169039150319506156061274880644765552281907939858358150547830176937679836681017068620161219325200,0.095,0.015,0.204,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & ((X( loc=26 & ((X( loc=72 & (X( loc=96 )))))))))))]",4,352785004578685984141267069708625054154945655805064585829213184369401325389673337103501380284737406979423277840569167/54619838921407352335541243761352974729052772067452043188944477582078555800043544527454832119947971610174935080609662600,0.093,0.038,0.198,random_path,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & ((X( loc=45 & ((X( loc=91 & (X( loc=94 )))))))))))]",4,17624594835260076219788250906089331679194336362368081924340837888293714227375285607305989357289298605400574053143611/2730991946070367616777062188067648736452638603372602159447223879103927790002177226372741605997398580508746754030483130,0.097,0.039,0.198,random_path,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=457] ,0,7923968584375400208863781215454295820849996559538876086204017919875920249045305796520687528287775022311922838285980299167000489282284567/10256317014524342534252350582944562834776774263555928244819734490278772852052806163818054105997398580508746754030483130000000000000000000,0.1,0.021,0.215,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=1508] ,0,7923968584375400208863781215454295820849996559538876086204017919875920249045305796520687528287775022311922838285980299167000489282284567/10256317014524342534252350582944562834776774263555928244819734490278772852052806163818054105997398580508746754030483130000000000000000000,0.102,0.016,0.222,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & ((X( loc=12 & (X( loc=58 ))))))))]",3,5290309529312866934360542856408437370319311424769083103837196203777979604012698679427145075150110753773016326089659736570981627994723/273099194607036761677706218806764873645263860337260215944722387910392779000217722637274160599739858050874675403048313000000000000000000,0.096,0.039,0.203,random_path,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & ((X( loc=6 & ((X( loc=52 & ((X( loc=96 & (X( loc=100 ))))))))))))))]",5,352785004578685984141267069708625054154945655805064585829213184369401325389673337103501380284737406979423277840569167/27309919460703676167770621880676487364526386033726021594472238791039277900021772263727416059973985805087467540304831300,0.098,0.043,0.213,random_path,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=178)]",0,141135983619337323214199974105662270295967491496552758165033803762697349707691196099508891534041380868129644263900284685736965153331287410071952200342103879033873234607620735569379762314831174606748915114651268976961948515625000000000/280099191630104570672105100725144825948021852794769055370979208869342688979144689270573217271127184343286267233091536898492435267069563842846241200476162974392924007717800424520936689252240123715150707894218608884637028794492612145969,0.097,0.067,0.197,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & ((X( loc=40 & ((X( loc=86 & ((X( loc=94 & ((X( loc=98 & (X( loc=632 )))))))))))))))))]",6,4935192929360473605468142102371375829565464430331250321465826268486172314959045487576945043902585560546875000000/273099194607036761677706218806764873645263860337260215944722387910392779000217722637274160599739858050874675403048313,0.104,0.047,0.2,random_path,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (X( loc=1 ))]",1,1770783678816192324811114611375340457397166854575612126224145720824983153803741955312494729150541284380093313432970109405284471732826991/2730991946070367616777062188067648736452638603372602159447223879103927790002177226372741605997398580508746754030483130000000000000000000,0.105,0.037,0.22,random_path,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & ((X( loc=25 & ((X( loc=71 & ((X( loc=96 & (X( loc=100 ))))))))))))))]",5,352785004578685984141267069708625054154945655805064585829213184369401325389673337103501380284737406979423277840569167/54619838921407352335541243761352974729052772067452043188944477582078555800043544527454832119947971610174935080609662600,0.103,0.042,0.218,random_path,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & (X( loc=16 )))))]",2,10652360049404559482379996425240686558661833494098489474107206329534506763504900620213084410230244081917852493668284690576722159430833/546198389214073523355412437613529747290527720674520431889444775820785558000435445274548321199479716101749350806096626000000000000000000,0.101,0.04,0.223,random_path,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=1516)]",0,515505136554096302946462265750280707156867933374618532171762307209240384590338495423649591637699223675787451680589293162753964844306905892484430483223328165340869842800296447583390130784136499378798950927734375000000000000000000000/75330257976979943322153404075864116516776189797965344235706740234426842210964703772758667786854303258117336244110328031988157694697221202863098467409344691644170669136972437683697726533312399148816604496897280487011684653867612145969,0.101,0.056,0.218,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & ((X( loc=23 & ((X( loc=69 & (X( loc=96 )))))))))))]",4,352785004578685984141267069708625054154945655805064585829213184369401325389673337103501380284737406979423277840569167/54619838921407352335541243761352974729052772067452043188944477582078555800043544527454832119947971610174935080609662600,0.1,0.046,0.222,random_path,3600,storm
